Nom de l'association;Secteur d'activité;Ville;Adresse postale;Code postal;Adresse email;Téléphone;Statut de publication;Statut légal;Date de déclaration;Date de modification;Administrateur;N°RNA;N°SIRET;IdAssociation
Association pour le droit de mourir dans la dignite;Social Entraide;Digne-les-Bains;18, avenue des charrois;04000;admd04@admd.net;0486899211;Publiée;Déclarée;01/01/1900;11/05/2015 (Alexandre Siahou);Oui;;;04f1c450-079c-404f-956c-13914dea1528
Association pour le traitement des ordures menageres (A.T.O.M.);"Recherche; Environnement, Développement durable; Education, Formation, Recherche";Moustiers-Sainte-Marie;La chêneraie;04360;;;Publiée;Déclarée;19/05/1997;16/06/2015 (System);Non;;;60ef15e4-5e26-4e9c-a7e6-6943c2500d3d
Association pour les residants de courbons;"Comités de défense du patrimoine; Préservation du patrimoine; Environnement, Développement durable; Art et Culture; Défense et amélioration du cadre de vie";Digne-les-Bains;Chemin de chastranelle;04000;;;Publiée;Déclarée;20/11/2008;12/06/2015 (System);Non;W043000113;;c5aa34be-1c50-4f2f-a5ad-fab2d2032211
Association pour un desenclavement routier du pays dignois;"Groupements d'entraide et de solidarité; Social Entraide; Amicale, groupement d'entraide, solidarité ";Digne-les-Bains;18,, chemin ste thérèse, la sèbe;04000;;;Publiée;Déclarée;20/02/2010;15/06/2015 (System);Non;W043000650;;8f3a3b8e-80da-41d2-bd01-b40b0f124d1b
Association profession sport de la region provence-alpes-cote d'azur;"Recherche; Sports";Digne-les-Bains;Immeuble la riviéra, 5, avenue de verdun;04004;;;Publiée;Déclarée;19/03/1998;04/06/2015 (System);Non;;;5fd8a69a-83eb-4ddb-a053-96773afd2a25
Association protestante evangelique action pour l'enfance, la jeunesse et la famille (A.E.J.F.);"Défense des droits fondamentaux, activités civiques; Sports; Art et Culture";Digne-les-Bains;62, avenue henri-jaubert;04000;;;Publiée;Déclarée;;15/04/2016 (System);Non;;;1d6067cb-7590-40c9-89c7-2d40274c5dad
Association reagir;Recherche;Digne-les-Bains;C.f.a. rené-villeneuve, 15, rue maldouat;04002;;;Publiée;Déclarée;19/12/1997;03/06/2015 (System);Non;;;af2ce5af-a55e-4985-aef3-026f374b9b43
Association regionale des directeurs d'iut de la region paca;Education, Formation, Recherche;Digne-les-Bains;Boulevard saint-jean-chrysostome;04000;;;Publiée;Déclarée;30/05/2008;12/06/2015 (System);Non;;;b60295ad-16cf-4c4f-ba44-52ca3b882afa
Association representative des droits de l'homme en france;"Défense des droits fondamentaux, activités civiques; Défense des libertés publiques et des droits de l'Homme; Justice";Digne-les-Bains;Rue de Gassendy;04000;;;Publiée;Déclarée;20/03/2009;13/06/2015 (System);Non;W043000341;;f2dc87ed-d85c-4790-b270-c62fce58290c
Association saint benoit labre;Logement;Digne-les-Bains;15, rue de la mère de dieu;04001;;0492315727;Publiée;Déclarée;01/01/1900;27/03/2015 (sandrine Fabry);Non;;;8a10a6ed-2f70-4599-afed-d9b86b8ef5f2
Association saint-jacques chastan;"Interventions sociales; Art et Culture";Digne-les-Bains;;04002;;;Publiée;Déclarée;19/09/1999;07/06/2015 (System);Non;;;ff612f4e-4b40-42c4-abfb-8b5efc8a88a0
Association saint-jean-de-haute-provence;"Recherche; Social Entraide; Art et Culture; Education, Formation, Recherche";Digne-les-Bains;10 Rue des Romarins;04000;;;Publiée;Déclarée;;16/06/2015 (System);Non;;;836cfd1d-d868-4da6-a517-7d45542c5db1
Association securite sociale sportive des organismes sociaux des alpes-de-haute-provence;"Social Entraide; Organisation de professions (hors caractère syndical); Amicale, groupement d'entraide, solidarité ";Digne-les-Bains;3 Rue Alphonse Richard;04000;;;Publiée;Déclarée;20/03/2012;17/04/2016 (System);Non;W043001923;;0694d33c-4d6c-4ac9-aee3-aab09ca7a4d1
Association sei san dojo;"Sports individuels; Karaté; Sports; Arts martiaux";Bras-d'Asse;Vallon d'enriou, la bégude;04270;;;Publiée;Déclarée;;16/06/2015 (System);Non;;;0cad4208-171a-4e2a-92ba-032536fedb06
Association sociale pour le culte des temoins de jehovah de digne-les-bains;"Religion, Culte, Philosophie; Social Entraide";Le Grand Saint-Martin;;04000;;;Publiée;Déclarée;;21/06/2015 (System);Non;;;2f6bd630-3491-4311-9fb7-d4407231019a
Association socio-educative, culturelle et sportive des maisons d'arret de digne-les-bains et de gap;Sports;Digne-les-Bains;Montée Saint-Charles;04000;;;Publiée;Déclarée;;13/06/2016 (System);Non;W043001077;;2e83f0bf-e08b-4c40-b76f-3c7dbd93efe3
Association speed action;"Religion, Culte, Philosophie; Social Entraide";Digne-les-Bains;C.f.a. rené-villeneuve, 15, rue maldonat;04000;;;Publiée;Dissoute;;16/06/2015 (System);Non;;;6ba241b2-6924-4d04-b684-fcebb5f7f4f3
Association sport medecine;"Recherche; Santé et Protection civile; Sports";Digne-les-Bains;61 Boulevard Gassendi;04000;;;Publiée;Déclarée;;22/06/2015 (System);Non;;;4b91cd1c-14af-49da-ad8e-fce84601debf
Association sport medecine;"Sports; Information et Communication";Digne-les-Bains;53, boulevard gassendi;04000;;;Publiée;Déclarée;;16/06/2015 (System);Non;;;a2e05266-548d-4e25-9fc9-aed182ac05e7
Association sportive d'estoublon;"Musique; Sports; Activités artistiques; Art et Culture";Estoublon;Mairie, rue louis-laurens;04270;;;Publiée;Déclarée;20/10/2000;22/06/2015 (System);Non;;;24599e6b-f779-4bf0-ac27-fbbc3fe62aba
Association sportive des ecuries de chambaresc;"Recherche; Sports; Actions socio-culturelles, centres de loisirs ";Barrême;Quartier saint-jean;04330;;;Publiée;Déclarée;;16/04/2016 (System);Non;;;f15346fd-146e-427e-94da-c93d133a279e
Association sportive dignoise (A.S.D.);Sports;Digne-les-Bains;10, avenue des thermes, h.l.m. le pigeonnier n  135, bâtiment 7;04000;;;Publiée;Déclarée;19/05/1999;07/06/2015 (System);Non;;;bec16cae-8ebe-4fb3-a6e7-ed1aa207184f
Association sportive du college de digne;"Sports; Actions socio-culturelles, centres de loisirs ";Digne-les-Bains;Collège maria-borrely, 5, place des cordeliers, b.p. 122;04000;;;Publiée;Déclarée;;16/04/2016 (System);Non;;;0102da8c-144d-4517-bb4c-9883f37daccb
Association sportive et culturelle de moustiers;"Sports individuels; Sports; Activités de plein air ; Associations multisports locales";Moustiers-Sainte-Marie;Rue du Seigneur de la Clue;04360;;;Publiée;Dissoute;20/08/2016;03/09/2016 (System);Non;W043002366;;d9edb0d0-0e48-4a14-a940-1d1ff5619b6d
Association sportive et recreative dignoise (A.S.E.R.D.I.), CLUB DE TWIRLING, GROUPE « LES GOLDEN STARS »;"Sports; Actions socio-culturelles, centres de loisirs ";Digne-les-Bains;Le they, appartement 85, 1, rue gassend;04000;;;Publiée;Déclarée;20/11/2001;14/04/2016 (System);Non;;;1b1cd72d-ec4b-4115-84c4-f20b929aec4b
Association sportive mezelienne (A.S.M.);Sports;Mézel;Ancienne salle polyvalente;04270;;;Publiée;Dissoute;20/09/2000;23/06/2015 (System);Non;;;a7a315fe-e3db-4f9f-9758-5aa2ded4d00f
Association sportive montagne et loisirs (ASMEL);"Recherche; Sports";Digne-les-Bains;1, rue maldonat;04000;;;Publiée;Déclarée;;15/04/2016 (System);Non;;;02e9f22d-76dd-4e75-b996-25ca8d8106e2
Association sportive organicoach;"Sports individuels; Marche sportive; Sports; Raid; Activités de plein air ";Digne-les-Bains;7,, impasse du puits;04000;;;Publiée;Déclarée;20/07/2012;17/04/2016 (System);Non;W043001950;;f27597f8-bbb0-47b1-8ba1-c99a3b938205
Association sportive pigeonnier (A.S.P.);"Sports; Actions socio-culturelles, centres de loisirs ";Digne-les-Bains;31, h.l.m barbejas, 28, avenue des thermes;04000;;;Publiée;Déclarée;;15/04/2016 (System);Non;;;40fbd02e-98c3-4643-b137-b1610bfeded2
Association sportive saint-ursule du sacre coeur.;Sports;Digne-les-Bains;2, avenue des thermes;04000;;;Publiée;Déclarée;;19/12/2014 (System);Non;;;ea56ee78-8029-4043-a8a9-80ec56e718d4
Association syndicale des medecins et pharmaciens hospitaliers de digne-les-bains;"Santé et Protection civile; Défense des droits fondamentaux, activités civiques; Justice; Education, Formation, Recherche";Digne-les-Bains;Centre hospitalier de digne, service de radiologie;04000;;;Publiée;Déclarée;20/04/2006;10/06/2015 (System);Non;;;6030b845-cb52-478c-a6a0-488f1dd4f08b
"Association syndicale du lotissement ""le cabanon""";Solidarité internationale;Digne-les-Bains;60 Route du Chaffaut;04000;;;Publiée;Déclarée;20/05/2016;03/07/2016 (System);Non;W043002349;;3657db7c-7ce6-4bff-b858-99e5d612b5dc
Association touristique sportive et culturelle des administrations financieres des alpes-de-haute-provence (A.T.S.C.A.F.);"Sports; Art et Culture";Digne-les-Bains;26, rue alphonse-richard;04000;;;Publiée;Déclarée;;14/04/2016 (System);Non;;;ed2d9ad8-0974-433d-892b-ceef1088927c
Association transversales;Entretien et développement corporel;Digne-les-Bains;1, hameau de saint pierre;04000;;0492322736;Publiée;Déclarée;01/01/1900;26/03/2015 (Alexandre Siahou);Non;;;edda5513-63f2-43ad-862a-3eb2766a6c99
Association usep itep de champtercier;"Social Entraide; Actions socio-culturelles, centres de loisirs ; Mouvements éducatifs de jeunesse et d'éducation populaire";Champtercier;Le village;04660;;;Publiée;Déclarée;27/03/2013;09/06/2015 (System);Non;W043002020;;bdd4d948-0e07-450c-ac9d-ecf22930649c
Association usep paul martin maternelle;"Sports; Associations multisports scolaires ou universitaires; Multisports";Digne-les-Bains;Avenue paul-martin;04000;;;Publiée;Déclarée;20/11/2007;12/06/2015 (System);Non;;;f72fb606-6496-42fa-9756-b03920306b6a
Association vtt collector.;"Sports individuels; Sports; Cyclisme (Vélo)";Digne-les-Bains;11, traverse des roses;04000;;;Publiée;Déclarée;03/12/2008;27/12/2014 (System);Non;W043000160;;cde5c802-9d31-462e-83f8-ded442bfeda0
Assosphere;"Insertion, Aide à l'emploi, vie locale; Social Entraide; Échanges locaux, réseaux d'échanges";Digne-les-Bains;9 Chemin de Mouiroues;04000;;;Publiée;Déclarée;22/07/2014;03/09/2015 (Jean-Christophe LEONARD);Non;W043002135;;7136a496-ec4e-4ef1-93c6-d7a2779cbceb
Assurance autonome departementale de solidarite de l'enseignement public des alpes-de-haute-provence;Interventions sociales;Digne-les-Bains;13, boulevard victor-hugo;04000;;;Publiée;Déclarée;;14/04/2016 (System);Non;;;b39e3bbb-84d6-4d25-a486-9be5b50e0dd5
Atelier 04 perspective;Promotion de l'art et des artistes;Digne-les-Bains;12,, rue du colonel payan;04000;;;Publiée;Déclarée;20/03/2016;19/04/2016 (System);Non;W043002325;;af41ffeb-a3da-4800-9c50-ef424f888ab5
Atelier choral de haute-provence;"Musique; Centre d'enseignement et de formation; Chant, Chorale; Activités artistiques; Art et Culture; Education, Formation, Recherche";Digne-les-Bains;Boulevard victor-hugo;04000;atelierchoral04@free.fr;;Publiée;Déclarée;;12/06/2015 (System);Non;;;2257c656-c40d-4380-8ce4-05cb271029c4
Atelier danse perspective 04;Danse;Digne-les-Bains;Les airelles - 3, allée des fontainiers;04000;;;Publiée;Déclarée;01/01/1900;24/04/2014 (System);Non;;;65f84037-1c20-4ab0-a1a4-98ef912b124c
Atelier de Realisation et de Techniques de Spectacles;Promotion de l'art et des artistes;Digne-les-Bains;66, boulevard Victor-Hugo;04000;;;Publiée;Non déclarée;;15/04/2015 (Alexandre Siahou);Non;;;73c16b20-5637-43d6-b2da-a528ae29e261
Atelier « le puits a coqs »;Art et Culture;Digne-les-Bains;8, boulevard gassendi;04000;nouveaulookdedigne-sarl@neuf.fr;;Publiée;Déclarée;20/06/2008;12/06/2015 (System);Non;;;c1d54deb-e25b-4df9-a3d1-c9b4fd3b6846
Atelier partage;"Social Entraide; Actions socio-culturelles, centres de loisirs ; Foyers ruraux";Digne-les-Bains;Rue Jean Gaspard Gassend;04000;;;Publiée;Déclarée;20/01/2015;08/06/2015 (System);Non;W043002203;;bd4119d0-65f5-47ab-a421-3d50c6f08327
Atelier pierre gassendi;Art et Culture;Digne-les-Bains;Ancienne gare de gaubert-le-chaffaut;04000;;;Publiée;Déclarée;19/04/1997;16/06/2015 (System);Non;;;9adf644b-24b2-486d-bde7-0b83c316a526
Athletic-club dignois;"Recherche; Sports individuels; Loisirs scientifiques et techniques; Sports; Loisirs; Entretien et développement corporel; Musculation- Body building";Digne-les-Bains;Centre culturel p.-gassendi, 4, avenue du 8-mai945;04000;;0492324192;Publiée;Déclarée;;16/06/2015 (System);Non;;;6ea3d955-7e68-44a4-b776-179cb254c061
Athletic-club dignois (A.C.D.);"Sports individuels; Sports; Actions socio-culturelles, centres de loisirs ; Athlétisme";Digne-les-Bains;Stade jean-rolland;04000;;0492322734;Publiée;Déclarée;19/10/1999;08/06/2015 (System);Non;;;26fc5aa6-18c1-4477-a729-38e62de28d3d
Aurore production;Art et Culture;Digne-les-Bains;21, avenue des charrois;04000;;;Publiée;Déclarée;;22/06/2015 (System);Non;;;5055de72-40e9-4206-8b8f-55a195f92892
Aurore production - association de communication et de production audiovisuelle;"Audiovisuel; Information et Communication";Digne-les-Bains;21, avenue des charrois;04000;;;Publiée;Déclarée;19/10/1998;05/06/2015 (System);Non;;;5762aca2-5de3-4068-96c4-641f9d1462a2
Autour2digne;"Travaux manuels; Social Entraide; Loisirs; Actions socio-culturelles, centres de loisirs ";Digne-les-Bains;7 Rue de la Glacière;04000;;;Publiée;Déclarée;20/10/2012;18/04/2016 (System);Non;W043001974;;c6a44072-53fe-4416-9c03-1b8438bb3f9d
Avance;Religion, Culte, Philosophie;Digne-les-Bains;Evêché, 13, avenue paul martin;04000;;;Publiée;Déclarée;20/01/2016;18/04/2016 (System);Non;W043002297;;00dd2e08-d212-488b-976a-84324f6c6479
A.v.e.c. (ASSOCIATION VOIR ECOUTER COMPRENDRE);Art et Culture;Digne-les-Bains;Mairie annexe de gaubert;04000;;;Publiée;Déclarée;19/05/1998;04/06/2015 (System);Non;;;c5de7711-e043-4a55-bd56-9a785403a178
Avenir jeunes - association nationale pour la formation et l'integration des jeunes dans le monde du travail;"Centre d'enseignement et de formation; Interventions sociales; Education, Formation, Recherche";Digne-les-Bains;3, allée des fontainiers;04000;;;Publiée;Déclarée;19/04/1999;07/06/2015 (System);Non;;;63e5e7ab-d8e3-45c3-ae72-89d2d445642a
Aventure et diabete;Santé et Protection civile;Digne-les-Bains;4, terrasse saint-pierre;04000;;;Publiée;Déclarée;;16/06/2015 (System);Non;;;23b6c3fa-e142-4bc1-8b28-3a698945073d
AVF - Digne;"Social Entraide; Poésie";Digne-les-Bains;Centre Desmichels;04000;avf.digne@wanadoo.fr;0492311775;Publiée;Déclarée;;25/03/2015 (Elias Administrateur Galoo);Non;;;67db04ba-7a2e-45b3-9ce7-41cd4bc2c6c1
Avicen e-formation;"Recherche; Santé et Protection civile; Social Entraide; Humanitaire et Caritatif; Interventions sociales";Mézel;Rue pied-de-ville;04270;;;Publiée;Déclarée;;15/04/2016 (System);Non;;;21f0f9fe-3734-4500-8926-cee11e09a529
Awi;"Musique; Chant, Chorale; Activités artistiques; Art et Culture";Digne-les-Bains;17, chemin de la cigale;04000;;;Publiée;Déclarée;20/02/2012;17/04/2016 (System);Non;W043001911;;e182349f-77ef-48af-8c90-a7da1f5a8160
Baby d'asse;"Service et établissements médico-sociaux; Accueil et protection de la petite enfance; Santé et Protection civile; Services familiaux, service aux personnes âgées, sénior; Crèches, garderies, haltes garderies; Social Entraide";Bras-d'Asse;Route du Pont de l'Asse;04270;;;Publiée;Déclarée;20/04/2009;14/06/2015 (System);Non;W043000370;;dd3f18bc-7f4a-42a8-914d-b98f8d43cbb1
Bacchus'band;"Activités festives (soirées); Loisirs";Digne-les-Bains;Le Grand Saint-Martin;04000;;;Publiée;Déclarée;27/01/2010;15/06/2015 (System);Non;W043000642;;3962c2a5-b079-4606-ba47-cdc2f6591c8b
Badminton-club dignois;"Sports individuels; Sports; Badminton; Raquettes";Digne-les-Bains;Rue de coste-plane;04000;;0492320278;Publiée;Déclarée;20/06/2000;21/06/2015 (System);Non;;;7196c529-55f5-42ca-9c99-832a8fdfd783
badr;"Activités festives (soirées); Culture - Langues / dialectes / patois; Religion, Culte, Philosophie; Social Entraide; Art et Culture";Digne-les-Bains;16 rue de la grande fontaine;04000;;;Publiée;Inconnu;;21/06/2016 (tarek zemari);Oui;;;fd05e8bd-f07c-4cbe-8b52-4fe44344a7b8
Balestra-segond organisation (B.-S. ORGANISATION);"Recherche; Art et Culture";Digne-les-Bains;Résidence les terrasses-du-moulin, 17, rue du 19-mars962, quartier du moulin;04000;;;Publiée;Déclarée;20/08/2001;23/06/2015 (System);Non;;;75a985eb-6ab3-42f0-89a9-28edd7bf8ad7
Banque Alimentaire des Alpes-du-sud;Social Entraide;Digne-les-Bains;12, avenue Gutenberg, ZI Saint-Christophe;04000;bancalim04@wanadoo.fr;0492711765;Publiée;Déclarée;;27/03/2015 (sandrine Fabry);Non;;;ffb41e9d-7e11-4f5f-804f-1eb3339767cb
Barreme en feste;Comités des fêtes;Barrême;Grand rue;04330;;;Publiée;Déclarée;20/11/2015;18/04/2016 (System);Non;W043002284;;c66295c4-76b2-406d-95f1-31e6a3db6c79
Batterie fanfare de digne-les-bains;Art et Culture;Digne-les-Bains;10 Rue du Casteou;04000;;;Publiée;Déclarée;;22/06/2015 (System);Non;;;2f02c65a-f560-4564-a632-b3bab867c6a7
Batuc à Digne;Instruments à percussion;Aiglun;2787, avenue Marius-Autric;04510;;;Publiée;Déclarée;;15/04/2015 (Alexandre Siahou);Non;;;5c2b14e3-e326-4437-ab0e-de0cc2ce1fb0
Batuc a digne;"Recherche; Musique; Activités artistiques; Art et Culture; Instruments à percussion";Digne-les-Bains;4, rue sylvain-richard le they;04000;batucadigne@voila.fr;;Publiée;Déclarée;20/06/2001;15/04/2016 (System);Non;;;e0f98850-3280-4fea-bf9d-a1eb2009853c
Batuc calu;Musique;Aiglun;2747, avenue marius autric;04510;;;Publiée;Déclarée;01/01/1900;17/04/2014 (System);Non;;;f6b8ef74-7dad-4518-b215-07b4492b6b4d
BATUC CALU;Musique;Digne-les-Bains;1 Boulevard Martin Bret;04000;batucalu@gmail.com;;Publiée;Déclarée;;16/10/2016 (Jean-Christophe LEONARD);Oui;;;1662d9ee-ca4e-43d5-8682-5c8ffb56551e
Bde gaco et mo digne (ASSOCIATION DES ETUDIANTS DE GESTION ADMINISTRATIVE ET COMMERCIALE DES ORGANISATIONS DE L'IUT AMU DE DIGNE-LES-BAINS);Associations d'étudiants, d'élèves;Digne-les-Bains;Iut amu, 19, boulevard saint jean chrysostome;04000;;;Publiée;Déclarée;;18/04/2016 (System);Non;W043000058;;08621edd-d6bb-414f-9c21-5b3cca5e1bff
Bde gb digne (ASSOCIATION DES ETUDIANTS DE GENIE BIOLOGIQUE DE L'IUT AMU DE DIGNE-LES-BAINS);Associations d'étudiants, d'élèves;Digne-les-Bains;Iut amu, 19, boulevard saint jean chrysostome;04000;;;Publiée;Déclarée;20/10/2015;18/04/2016 (System);Non;W043002271;;5b8a8b03-14f6-480e-8052-9edacbbc7277
